row,aggressors_activations,reads,median_of_time,bitflips
14262,4,2,12456,0
14263,4,2,8296,0
14264,4,2,8587,0
14265,4,2,11865,0
14266,4,2,8300,0
14267,4,2,13080,0
14268,4,2,8270,0
14269,4,2,8407,0
14270,4,2,8359,0
14271,4,2,13773,0
14272,4,2,8226,0
14273,4,2,12999,0
14274,4,2,8025,0
14275,4,2,8158,0
14276,4,2,8003,0
14277,4,2,8938,0
14278,4,2,8467,0
14279,4,2,13404,0
14280,4,2,8353,0
14281,4,2,15195,0
14282,4,2,9287,0
14283,4,2,16497,0
14284,4,2,8423,0
14285,4,2,8284,0
14286,4,2,11597,0
14287,4,2,8012,0
14288,4,2,12277,0
14289,4,2,8088,0
14290,4,2,8158,0
14291,4,2,11547,0
14292,4,2,8115,0
14293,4,2,8287,0
14294,4,2,8110,0
14295,4,2,8368,0
14296,4,2,15240,0
14297,4,2,8111,0
14298,4,2,11720,0
14299,4,2,8268,0
14300,4,2,8117,0
14301,4,2,8911,0
14302,4,2,12154,0
14303,4,2,7918,0
14304,4,2,8191,0
14305,4,2,8009,0
14306,4,2,9045,0
14307,4,2,8001,0
14308,4,2,8291,0
14309,4,2,8074,0
14310,4,2,8041,0
14311,4,2,11916,0
14312,4,2,8207,0
14313,4,2,11978,0
14314,4,2,7850,0
14315,4,2,8081,0
14316,4,2,8643,0
14317,4,2,12628,0
14318,4,2,7889,0
14319,4,2,8198,0
14320,4,2,7924,0
14321,4,2,7795,0
14322,4,2,7963,0
14323,4,2,12063,0
14324,4,2,8159,0
14325,4,2,11417,0
14326,4,2,7998,0
14327,4,2,8110,0
14328,4,2,8018,0
14329,4,2,8079,0
14330,4,2,11654,0
14331,4,2,7754,0
14332,4,2,8185,0
14333,4,2,8133,0
14334,4,2,13252,0
14335,4,2,8179,0
14336,4,2,12351,0
14337,4,2,8050,0
14338,4,2,8558,0
14339,4,2,8090,0
14340,4,2,8085,0
14341,4,2,8097,0
14342,4,2,7701,0
14343,4,2,7777,0
14344,4,2,14090,0
14345,4,2,8371,0
14346,4,2,8097,0
14347,4,2,12078,0
14348,4,2,8750,0
14349,4,2,8260,0
14350,4,2,8428,0
14351,4,2,8200,0
14352,4,2,8260,0
14353,4,2,14349,0
14354,4,2,8203,0
14355,4,2,8001,0
14356,4,2,10525,0
14357,4,2,8051,0
14358,4,2,8391,0
14359,4,2,8141,0
14360,4,2,7955,0
14361,4,2,11485,0
14362,4,2,7815,0
14363,4,2,7979,0
14364,4,2,8378,0
14365,4,2,15183,0
14366,4,2,9305,0
14367,4,2,16793,0
14368,4,2,30645,0
14369,4,2,45724,0
14370,4,2,42846,0
14371,4,2,45559,0
14372,4,2,43512,0
14373,4,2,39382,0
14374,4,2,44735,0
14375,4,2,35529,0
14376,4,2,25468,0
14377,4,2,39249,0
14378,4,2,30569,0
14379,4,2,36306,0
14380,4,2,24394,0
14381,4,2,44902,0
14382,4,2,30602,0
14383,4,2,36758,0
14384,4,2,27111,0
14385,4,2,45143,0
14386,4,2,38824,0
14387,4,2,32374,0
14388,4,2,24684,0
14389,4,2,45528,0
14390,4,2,45530,0
14391,4,2,45503,0
14392,4,2,45500,0
14393,4,2,45517,0
14394,4,2,45515,0
14395,4,2,45512,0
14396,4,2,45495,0
14397,4,2,45561,0
14398,4,2,41046,0
14399,4,2,34847,0
14400,4,2,35628,0
14401,4,2,45547,0
14402,4,2,42359,0
14403,4,2,45565,0
14404,4,2,43566,0
14405,4,2,44503,0
14406,4,2,45534,0
14407,4,2,31713,0
14408,4,2,32377,0
14409,4,2,45475,0
14410,4,2,43550,0
14411,4,2,37289,0
14412,4,2,10154,0
14413,4,2,45274,0
14414,4,2,43920,0
14415,4,2,36119,0
14416,4,2,37379,0
14417,4,2,45325,0
14418,4,2,39787,0
14419,4,2,31193,0
14420,4,2,36307,0
14421,4,2,44298,0
14422,4,2,44864,0
14423,4,2,34585,0
14424,4,2,30561,0
14425,4,2,44892,0
14426,4,2,43788,0
14427,4,2,31777,0
14428,4,2,30550,0
14429,4,2,45467,0
